col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
104,34083,255,3742,3.1,72986.8,29.4,41747,0,COSMIC
105,34103,81,1691,0.9,72986.8,29.4,5560,0,COSMIC
106,34404,77,611,0.5,72986.8,29.4,5434,0,COSMIC
107,34671,77,1142,0.7,72987.3,29.4,41585,0,COSMIC
108,35411,79,1126,0.7,72987.8,29.4,41704,0,COSMIC
109,35657,81,1621,0.9,72989.9,29.4,41750,0,COSMIC
110,35996,81,832,0.6,72989.9,29.4,5581,0,COSMIC
111,36063,113,3015,1.7,72987.3,29.4,54367,0,COSMIC
112,36130,107,2766,1.5,72987.3,29.4,5573,0,COSMIC
113,37377,158,3371,2.1,72986.8,29.4,77636,0,COSMIC
114,37442,87,1983,1.1,72986.8,29.4,5625,0,COSMIC
115,37454,752,4095,10.7,72986.8,29.4,5447,0,COSMIC
116,38047,86,1692,1.0,72989.9,29.4,77667,0,COSMIC
117,38128,133,3340,1.9,72989.9,29.4,5584,0,COSMIC
118,38148,665,4095,8.8,72989.9,29.4,5439,0,COSMIC
119,38379,77,1341,0.8,72989.9,29.4,5491,0,COSMIC
120,39279,834,4095,12.7,72993.1,29.4,77701,0,COSMIC
121,39869,85,1894,1.0,72990.5,29.4,41684,0,COSMIC
122,40261,205,3640,2.6,72984.6,29.4,41639,0,COSMIC
123,40616,78,1229,0.8,72989.4,29.4,41755,0,COSMIC
124,40953,81,1258,0.8,72989.4,29.4,5597,0,COSMIC
125,41174,84,1456,0.9,72986.8,29.4,41671,0,COSMIC
126,41186,78,1308,0.8,72986.8,29.4,5559,0,COSMIC
127,41278,89,2083,1.1,72986.8,29.4,5418,0,COSMIC
128,42282,108,2559,1.4,72990.5,29.4,77479,0,COSMIC
129,42498,77,1430,0.8,72990.5,29.4,5567,0,COSMIC
130,42645,178,3537,2.3,72987.8,29.4,41672,0,COSMIC
131,42770,90,2389,1.3,72987.8,29.4,5561,0,COSMIC
132,43269,78,1393,0.8,72987.8,29.4,41607,0,COSMIC
133,44086,80,932,0.7,72990.5,29.4,77632,0,COSMIC
134,44094,83,1976,1.1,72990.5,29.4,5503,0,COSMIC
135,44112,78,670,0.6,72990.5,29.4,5409,0,COSMIC
136,44303,82,1474,0.9,72990.5,29.4,5386,0,COSMIC
137,44340,98,2480,1.3,72990.5,29.4,5337,0,COSMIC
138,44975,100,2470,1.4,72990.5,29.4,41660,0,COSMIC
139,45190,81,973,0.7,72988.3,29.4,41656,0,COSMIC
140,45593,152,3380,2.1,72985.1,29.4,41681,0,COSMIC
141,46470,99,2425,1.3,72988.3,29.4,41663,0,COSMIC
142,47450,301,4023,3.7,72994.2,29.4,77496,0,COSMIC
143,48071,114,2843,1.6,72991.0,29.4,77581,0,COSMIC
144,48360,82,1503,0.9,72991.0,29.4,5572,0,COSMIC
145,48371,116,2972,1.7,72991.0,29.4,5403,0,COSMIC
146,49147,3962,4095,953.6,72985.6,29.4,77692,0,COSMIC
147,49261,81,1799,1.0,72985.6,29.4,5530,0,COSMIC
148,49646,81,1237,0.8,72986.2,29.4,41609,0,COSMIC
149,49720,201,3598,2.6,72986.2,29.4,5524,0,COSMIC
150,50322,248,3672,3.0,72988.8,29.4,41551,0,COSMIC
151,50492,80,1241,0.8,72988.8,29.4,5550,0,COSMIC
152,50615,90,2073,1.1,72991.0,29.4,41605,0,COSMIC
153,50779,80,1018,0.7,72991.0,29.4,5559,0,COSMIC
154,50813,605,4095,7.7,72991.0,29.4,5390,0,COSMIC
155,51059,83,1518,0.9,72988.3,29.4,41614,0,COSMIC
156,51250,203,3593,2.6,72988.3,29.4,5525,0,COSMIC
157,51372,78,641,0.5,72988.3,29.4,5416,0,COSMIC
158,51979,81,1826,1.0,72986.2,29.4,41615,0,COSMIC
159,52118,78,656,0.6,72986.7,29.4,41704,0,COSMIC
160,52238,91,2266,1.2,72986.7,29.4,5504,0,COSMIC
161,52274,83,1665,1.0,72986.7,29.4,5445,0,COSMIC
162,54169,121,3044,1.7,72991.5,29.4,149158,0,COSMIC
163,54493,79,1088,0.7,72991.5,29.4,5530,0,COSMIC
164,55545,200,3498,2.5,72986.2,29.4,113427,0,COSMIC
165,55639,80,1434,0.8,72986.2,29.4,5519,0,COSMIC
166,55811,290,3903,3.5,72986.2,29.4,5371,0,COSMIC
167,56484,108,2618,1.5,72983.5,29.4,41628,0,COSMIC
